source	target	is_directed	is_stimulation	is_inhibition	dip_url
6714	7414	1	0	1	NA
6714	7429	1	1	0	NA
6714	19	1	0	0	NA
659	6714	1	0	0	NA
6714	10146	1	0	0	NA
6714	3845	1	1	0	NA
6714	55824	1	0	0	NA
6714	6199	1	0	0	NA
967	6714	0	0	0	NA
6714	1003	1	1	0	NA
1003	6714	1	0	0	NA
6714	3172	1	0	1	NA
6714	2185	1	1	0	NA
2185	6714	1	1	0	NA
6714	7068	1	0	0	NA
6714	2324	1	1	0	NA
6714	493	1	0	0	NA
6714	4638	1	1	0	NA
6714	660	1	1	0	NA
6714	8751	1	0	0	NA
8751	6714	1	0	0	NA
6714	3559	1	0	0	NA
6714	3061	1	0	0	NA
6714	2554	1	1	0	NA
6714	28964	1	1	0	NA
6714	2903	1	1	0	NA
6714	202559	1	1	0	NA
6714	273	1	0	0	NA
6714	5786	1	1	0	NA
5786	6714	1	1	0	NA
6714	4593	1	1	0	NA
6714	6712	1	1	0	NA
6714	1742	1	1	0	NA
6714	8936	1	1	0	NA
6714	2741	1	1	0	NA
6714	6386	1	0	0	NA
6714	2890	1	0	0	NA
6714	10256	1	0	0	NA
6714	3897	1	0	0	NA
6714	7364	1	1	0	NA
6714	27035	1	0	0	NA
6714	2743	1	1	0	NA
6714	6455	1	0	1	NA
2042	6714	1	1	0	NA
6714	2957	1	0	0	NA
6714	3728	1	1	0	NA
6714	163	1	0	1	NA
6714	9844	1	0	0	NA
6714	2539	1	0	0	NA
6714	64866	1	0	0	NA
6714	2520	1	0	0	NA
6714	10021	1	1	0	NA
6714	1901	1	0	0	NA
6714	10451	1	1	0	NA
6714	3690	1	1	1	NA
5782	6714	1	0	0	NA
6714	7294	1	1	0	NA
6714	3738	1	1	0	NA
6714	7037	1	0	0	NA
6714	1600	1	0	0	NA
6714	5801	0	0	0	NA
6714	1124	1	0	1	NA
52	6714	1	0	0	NA
6714	51517	1	0	0	NA
6714	4921	1	1	0	NA
6714	394	1	1	0	NA
6714	27043	1	0	0	NA
6714	2779	1	0	0	NA
6714	29109	1	0	0	NA
6714	3745	1	1	0	NA
5522	6714	1	0	1	NA
6714	3758	1	0	1	NA
6714	1139	1	0	1	NA
6714	89832	1	0	1	NA
6714	4905	1	0	0	NA
6714	4867	1	0	0	NA
6714	2272	1	0	0	NA
6714	5524	0	0	0	NA
